8c:ab:8e:8b:68:20,1441,1263
28:d1:27:b9:c1:64,1235,1035
44:f4:36:c7:f6:0e,1194,1367
8c:ab:8e:8b:68:18,1165,1513
44:f4:36:c7:ad:12,1086,1370
d4:ee:07:4a:2c:ba,1081,1155
44:f4:36:c7:f0:86,1043,1226
70:2e:22:df:b5:f6,910,1149
c4:51:8d:20:33:90,880,1231
18:44:e6:a3:4d:a2,840,1052
5c:3a:3d:56:ec:e1,809,1078
c4:51:8d:20:43:30,778,1242
aa:7e:ea:37:b7:57,771,529
44:f4:36:c7:d5:8c,755,1112
28:d1:27:b9:c1:63,732,1024
18:44:e6:a3:3f:14,730,912
44:f4:36:c7:ee:4c,640,709
44:f4:36:c8:12:0a,634,1011
a4:7e:39:89:a5:46,580,1146
44:f4:36:c8:14:44,551,842
44:f4:36:c7:ee:16,545,953
c4:51:8d:20:1e:c0,540,971
c4:51:8d:20:1e:f0,538,1005
a4:7e:39:89:c2:8c,533,641
c4:51:8d:20:95:20,505,761
44:f4:36:c7:e0:ba,500,731
c4:51:8d:20:19:a0,499,967
c4:51:8d:20:19:60,480,823
90:fd:73:a3:7a:26,466,446
d6:4d:a4:1c:06:1b,465,446
a4:7e:39:89:f4:00,461,848
44:f4:36:c8:0e:f2,454,580
c4:51:8d:20:18:c0,438,630
a4:7e:39:8a:04:68,423,1012
d4:83:04:fc:46:88,415,924
c4:51:8d:20:1a:50,415,913
e4:77:23:be:56:cf,384,911
c4:51:8d:20:15:e0,384,634
18:44:e6:a3:49:9a,381,445
44:f4:36:c8:11:aa,377,495
44:f4:36:c7:df:76,360,490
18:44:e6:a3:53:fc,346,608
c4:51:8d:20:19:f0,332,546
64:9a:08:c5:6a:00,325,544
c4:51:8d:20:17:20,313,561
44:f4:36:c7:c7:b8,303,490
44:f4:36:c7:f9:0e,302,386
c4:51:8d:20:15:50,295,639
c4:51:8d:20:21:70,279,633
c4:51:8d:20:19:d0,270,734
44:f4:36:c7:c7:be,262,303
c4:51:8d:20:1f:90,256,580
c4:51:8d:20:23:50,255,466
44:f4:36:c7:c1:a6,251,316
a4:7e:39:89:cd:f0,240,378
18:44:e6:a3:3f:ce,239,333
54:75:95:86:9b:a8,234,332
44:f4:36:c7:f9:86,230,348
9c:9d:7e:17:56:69,229,285
70:2e:22:df:af:24,226,558
90:76:9f:10:7d:07,225,528
70:2e:22:df:b4:dc,225,454
c4:51:8d:20:91:70,224,537
44:f4:36:c7:e8:10,220,346
44:f4:36:c7:f8:1e,216,496
50:bd:5f:2b:0b:ea,211,349
5c:3a:3d:56:ee:21,211,348
44:f4:36:c7:b7:50,198,578
a4:7e:39:89:c2:1a,193,322
44:f4:36:c7:ef:30,188,394
c4:51:8d:20:28:a0,186,625
44:f4:36:c7:e9:12,186,546
00:50:0f:ce:96:e8,182,653
c2:68:e6:28:9e:b3,179,674
90:fd:73:a3:7a:25,174,442
44:f4:36:c7:e3:cc,173,550
c4:51:8d:20:1d:e0,171,315
60:ee:5c:68:c3:bc,170,318
18:44:e6:a3:50:9c,160,443
c4:51:8d:20:21:00,152,311
cc:34:29:09:3e:b0,145,135
54:75:95:e4:be:83,142,141
46:8c:a0:ef:dc:a3,141,316
54:75:95:e4:be:81,137,326
10:c1:72:41:ca:9c,136,181
54:a7:03:84:b1:b0,136,88
22:6d:c7:1c:72:43,135,485
c4:51:8d:20:32:50,134,365
98:8b:0a:ff:41:62,133,619
cc:34:29:09:3e:a8,131,560
18:44:e6:a3:48:a4,131,283
c4:51:8d:20:33:10,130,425
5c:3a:3d:56:ec:b1,130,229
70:2e:22:df:af:90,127,289
44:f4:36:c7:fd:88,127,147
44:f4:36:c7:e6:8a,123,420
44:f4:36:c7:f3:b6,123,295
9c:9d:7e:ce:7b:1a,122,301
c4:51:8d:20:2b:10,121,386
c4:51:8d:20:20:10,121,336
a4:7e:39:89:c1:a2,120,309
70:2e:22:df:b2:fc,117,310
c4:51:8d:20:9f:f0,116,279
40:b8:9a:83:33:f4,116,245
02:89:67:fc:5d:c0,115,276
94:e9:ee:64:ce:44,115,67
