4a:ff:28:01:08:eb,116
44:f4:36:c8:14:44,842
44:f4:36:c7:fb:96,130
f0:92:b4:3a:f1:71,47
c4:51:8d:20:95:20,761
18:44:e6:a3:4d:a2,1052
44:f4:36:c7:f6:0e,1367
44:f4:36:c7:e9:12,546
c4:51:8d:20:1e:c0,971
44:f4:36:c7:e0:ba,731
9c:9d:7e:1c:e4:8d,212
b4:1c:30:ad:df:98,181
18:44:e6:a3:3f:14,912
a4:7e:39:89:c1:a2,309
f0:92:b4:3f:62:a1,132
f0:92:b4:34:01:c9,120
70:2e:22:df:b5:f6,1149
44:f4:36:c7:e8:10,346
64:9a:08:c5:6a:00,544
44:f4:36:c7:fa:e8,160
a4:7e:39:89:cd:f0,378
62:45:b5:0a:6b:ff,135
44:f4:36:c7:ee:4c,709
18:44:e6:a3:48:a4,283
f0:92:b4:3f:5c:89,146
44:f4:36:c7:f0:86,1226
44:f4:36:c7:ef:7e,92
74:c3:30:e3:2a:96,54
c4:51:8d:20:1f:90,580
00:50:0f:ce:96:e8,653
44:f4:36:c7:fa:76,19
d4:83:04:fc:46:88,924
44:f4:36:c7:b7:50,578
44:f4:36:c7:d5:8c,1112
a4:7e:39:89:f4:00,848
44:f4:36:c7:fa:2e,15
44:f4:36:c7:f6:d4,85
cc:34:29:09:3e:a8,560
70:2e:22:df:af:90,289
18:44:e6:a3:53:fc,608
88:c3:97:dc:ae:7d,251
f0:92:b4:34:0e:81,84
44:f4:36:c7:ad:12,1370
44:f4:36:c7:fb:42,54
c4:51:8d:20:91:70,537
c4:51:8d:20:43:30,1242
44:f4:36:c7:e0:de,136
a4:7e:39:8a:04:68,1012
f0:92:b4:34:ef:d1,11
10:c1:72:41:ca:9c,181
44:f4:36:c8:0d:36,240
f0:92:b4:3f:29:d1,196
8c:ab:8e:8b:68:18,1513
c4:51:8d:20:19:60,823
44:f4:36:c7:df:76,490
44:f4:36:c7:e5:3a,37
c4:51:8d:20:15:50,639
e4:77:23:be:56:cf,911
c4:51:8d:20:27:90,230
c4:51:8d:20:1e:f0,1005
c4:51:8d:20:28:a0,625
44:f4:36:c7:ef:30,394
c4:51:8d:20:33:90,1231
5c:3a:3d:56:ec:e1,1078
18:44:e6:a3:52:f4,278
44:f4:36:c7:d4:de,146
a4:7e:39:89:b4:46,31
c4:51:8d:20:37:b0,228
c4:51:8d:20:26:70,268
44:f4:36:c8:06:e2,307
44:f4:36:c7:e1:74,59
c2:68:e6:28:9e:b3,674
cc:34:29:09:3e:b0,135
40:b8:9a:83:33:f4,245
50:2b:73:d4:61:66,370
b4:1c:30:fe:e6:4f,181
60:ee:5c:68:c3:bc,318
10:c1:72:41:08:38,146
c4:51:8d:20:19:a0,967
44:f4:36:c7:ee:16,953
6a:52:b1:ac:b3:26,152
90:fd:73:a3:7a:26,446
f4:83:cd:bf:72:66,46
10:c1:72:42:2d:20,251
88:11:96:b0:04:03,133
80:89:17:71:d9:52,286
d6:4d:a4:1c:06:1b,446
98:8b:0a:ff:41:62,619
c4:51:8d:1f:91:70,171
c4:36:55:67:40:ad,10
70:2e:22:df:af:24,558
90:83:4b:58:6a:99,21
c4:51:8d:20:25:80,276
50:fa:84:57:53:3c,34
e4:a7:c5:c7:6e:18,274
c4:51:8d:20:34:a0,195
44:f4:36:c8:05:c2,215
18:44:e6:a3:41:a8,9
a4:7e:39:89:a5:46,1146
9c:9d:7e:ce:7b:1a,301
02:89:67:fc:5d:c0,276
c4:51:8d:20:1d:e0,315
22:6d:c7:1c:72:43,485
b0:95:8e:e3:29:ab,340
8c:ab:8e:8b:68:20,1263
5c:3a:3d:56:ee:21,348
44:f4:36:c7:f4:52,264
44:f4:36:c7:f3:b6,295
08:10:78:f7:da:d5,5
70:2e:22:df:b2:fc,310
44:f4:36:c7:f3:1a,329
00:3a:99:c6:1b:40,122
c4:51:8d:20:34:e0,554
54:75:95:86:9b:a8,332
78:eb:14:f2:5c:be,308
28:d1:27:b9:c1:64,1035
44:f4:36:c8:12:0a,1011
aa:7e:ea:37:b7:57,529
44:f4:36:c7:f2:c6,242
d4:ee:07:4a:2c:ba,1155
10:c1:72:40:d6:9c,52
c4:51:8d:20:15:e0,634
c4:51:8d:20:21:70,633
28:d1:27:b9:c1:63,1024
c4:51:8d:20:18:c0,630
a4:7e:39:89:c2:8c,641
44:f4:36:c7:e3:cc,550
c4:51:8d:20:1e:50,242
90:fd:73:a3:7a:25,442
c4:51:8d:20:19:d0,734
44:f4:36:c7:f7:e8,190
a4:7e:39:89:c2:1a,322
fc:7c:02:b2:09:37,185
c4:51:8d:20:33:10,425
f0:92:b4:c3:b9:a9,11
50:bd:5f:2b:0b:ea,349
c4:51:8d:20:1a:50,913
fc:94:ce:9b:de:38,10
1c:68:7e:50:bc:b8,132
c4:51:8d:20:2b:80,150
86:ef:18:0d:d7:8e,164
c4:51:8d:20:2a:e0,104
c4:51:8d:20:33:a0,145
c4:51:8d:1f:8f:80,77
78:c5:f8:d7:7c:ff,226
bc:d1:77:b4:b8:22,217
d6:44:16:6c:e0:5e,66
44:f4:36:c7:eb:a6,154
c4:51:8d:1f:89:60,54
c4:51:8d:20:23:00,214
c4:51:8d:20:4c:c0,180
c4:51:8d:20:73:20,88
d2:7e:35:c3:b3:b6,146
44:f4:36:c8:01:06,34
90:ad:f7:21:57:b2,75
c4:51:8d:1f:89:20,44
10:c1:72:41:fc:54,110
c4:51:8d:20:2d:70,47
44:f4:36:c7:f7:b2,103
a4:7e:39:89:ff:3a,63
44:f4:36:c8:00:fa,57
10:c1:72:41:83:78,51
10:c1:72:41:b3:d0,60
c4:51:8d:20:27:b0,40
c4:51:8d:20:1e:90,105
18:31:bf:ad:ee:09,190
18:31:bf:ad:ee:08,151
c4:51:8d:20:1f:70,165
c4:51:8d:1f:96:e0,9
44:f4:36:c8:11:4a,53
c4:51:8d:1f:88:80,24
10:c1:72:43:66:c0,29
10:c1:72:41:9a:60,10
02:f8:23:77:22:32,11
44:f4:36:c8:04:48,57
10:c1:72:41:e4:c4,11
0c:b5:27:ea:20:5d,11
c4:51:8d:1f:86:f0,34
10:c1:72:41:e4:68,9
34:80:b3:16:d7:10,57
44:f4:36:c7:e1:08,6
f0:92:b4:34:13:b9,26
c4:51:8d:20:31:e0,11
86:ef:18:48:64:4e,93
70:78:8b:26:1c:88,12
54:75:95:e4:be:81,326
9c:e9:1c:3f:6a:8e,44
44:f4:36:c8:0e:f2,580
78:44:fd:4c:46:0e,205
44:22:95:8b:4d:fe,22
14:79:f3:2e:19:98,30
60:3a:7c:49:b7:69,330
80:8f:1d:76:c7:f3,54
78:85:f4:44:3b:0c,12
28:2c:b2:ae:ad:8a,22
c4:51:8d:20:34:d0,23
44:f4:36:c8:08:74,39
70:af:6a:1a:ea:5f,98
10:c1:72:41:e4:28,22
c4:51:8d:20:49:f0,21
90:76:9f:10:7d:07,528
c4:51:8d:20:17:20,561
00:3a:99:c6:15:00,208
60:3a:7c:f6:db:6b,103
d8:c8:e9:84:dc:d8,11
62:3a:7c:a6:db:6b,127
f4:83:cd:ee:ef:75,79
bc:54:fc:e9:7c:ee,246
90:12:34:54:85:ac,36
fc:7c:02:b2:59:8f,294
54:a7:03:84:b1:b0,88
60:3a:7c:49:b7:6b,35
f4:83:cd:c0:53:54,24
64:6e:97:09:37:8c,342
00:3a:99:c5:fe:30,88
36:78:39:34:4e:94,38
00:3a:99:c6:05:30,55
c8:3a:35:4d:da:60,48
7c:b5:9b:0d:9a:a7,21
f4:b5:aa:52:40:ea,29
00:b0:0c:1a:1a:40,117
8c:53:c3:e4:44:5c,135
d8:c8:e9:00:0f:a0,9
34:78:39:14:4e:94,45
90:12:34:54:85:a8,10
d0:76:e7:95:2a:14,10
44:13:d0:0a:f2:10,103
de:ed:2a:e4:66:a2,17
a4:9b:4f:52:1b:e8,117
cc:2d:21:e7:20:50,22
0c:d8:6c:95:6a:66,12
56:75:95:a4:be:81,272
98:f1:81:d3:67:11,52
34:6b:5b:c2:d6:c0,66
b8:80:35:3c:92:d0,21
54:75:95:22:d8:ee,62
54:a7:03:84:b1:ae,66
cc:81:da:d4:10:f8,116
c4:51:8d:20:19:f0,546
6a:db:54:2d:0e:94,53
9c:9d:7e:65:40:42,10
c4:36:55:f4:89:ea,121
54:75:95:eb:a2:74,132
c4:51:8d:20:2b:10,386
ec:56:23:cf:60:31,9
54:75:95:e4:be:83,141
b0:b1:94:4a:aa:5e,11
d4:5f:25:08:b7:25,70
80:89:17:f9:8b:00,55
0c:d8:6c:83:02:12,24
bc:5f:f6:96:59:bc,11
d4:5f:25:11:fb:7d,11
56:75:95:d4:be:81,105
0c:83:9a:1f:78:f9,10
88:c3:97:bd:35:fe,30
fc:d7:33:c4:cc:5a,24
d4:5f:25:12:42:1e,128
b2:05:88:5b:2f:0c,69
a4:7e:39:89:9f:7c,38
06:05:88:13:16:88,52
88:6a:b1:0c:84:6e,11
ba:80:35:4c:92:d0,87
e4:f3:f5:48:ae:5e,72
d8:15:0d:6c:f4:70,83
00:21:d8:35:74:a0,68
8c:a6:df:8c:5b:1d,33
b0:c0:90:3a:b1:1e,14
e8:5a:d1:78:d7:cd,11
08:6b:d1:8b:3a:a0,97
e8:5a:d1:69:17:2d,10
56:75:95:ab:a2:74,40
c8:3a:35:78:4c:f1,17
ea:5a:d1:19:17:2d,14
b0:95:8e:07:92:94,11
a2:ec:fa:70:d5:64,10
14:3c:c3:52:96:e8,12
06:69:6c:73:c4:33,79
06:69:6c:73:c3:eb,48
06:69:6c:73:c4:bf,36
f8:9a:78:e2:48:24,10
